id,username,created_at,lng,lat,text
1.51E+18,hellorosechan,Thu Apr 14 00:57:47 +0000 2022,97.6022205,1.262721,Wordle 299 4/6🟨🟩⬛⬛⬛⬛🟩🟩🟨⬛⬛🟩🟩🟩🟩🟩🟩🟩🟩🟩
1.51E+18,iamkimberlysoto,Thu Apr 14 00:58:08 +0000 2022,-118.4119065,34.0207895,Wordle (ES)  #97 6/6⬜⬜⬜🟨⬜⬜🟨⬜⬜⬜⬜⬜⬜⬜🟩⬜🟩🟩🟩🟩⬜🟩🟩🟩🟩🟩🟩🟩🟩🟩
1.51E+18,chouinardphoto,Thu Apr 14 00:59:26 +0000 2022,-82.472767,27.3666175,@janicedillard Wordle 298 3/6⬛⬛⬛⬛⬛⬛⬛🟩⬛⬛🟩🟩🟩🟩🟩
1.51E+18,saif_maskari,Thu Apr 14 00:59:57 +0000 2022,58.4641695,23.549159,Wordle 299 6/6⬛⬛⬛🟨⬛⬛⬛🟨⬛🟩⬛⬛⬛⬛⬛⬛🟩⬛🟨⬛🟩🟩⬛⬛🟩🟩🟩🟩🟩🟩
1.51E+18,HangBlaa,Thu Apr 14 01:00:12 +0000 2022,-7.556151,52.150999,@Lizziesaurus Well done Lizzie!  👍👍👍And SNAP!Wordle 299 3/6*⬜⬜⬜⬜🟩⬜⬜🟨🟨🟩🟩🟩🟩🟩🟩
1.51E+18,mbknowsnothing,Thu Apr 14 01:01:11 +0000 2022,103.8369865,46.858024,Wordle 299 3/6*⬜⬜⬜⬜🟩⬜⬜⬜⬜🟩🟩🟩🟩🟩🟩Phew
1.51E+18,schneiderjt38,Thu Apr 14 01:04:35 +0000 2022,-89.2665075,39.7393005,Okay what the fuckWordle 298 5/6⬛⬛🟩🟩⬛⬛⬛🟩🟩⬛🟩⬛🟩🟩🟩🟩⬛🟩🟩🟩🟩🟩🟩🟩🟩
1.51E+18,ChudamaniR,Thu Apr 14 01:04:35 +0000 2022,84.1330205,28.3908495,Wordle 299 4/6⬜⬜⬜⬜⬜🟨⬜🟨⬜⬜🟩🟨⬜🟨🟨🟩🟩🟩🟩🟩
1.51E+18,faissl,Thu Apr 14 01:04:44 +0000 2022,31.570606,29.596249,Wordle 299 3/6⬛⬛🟦⬛🟦⬛🟧🟦🟦⬛🟧🟧🟧🟧🟧
1.51E+18,cTSElavie,Thu Apr 14 01:04:52 +0000 2022,120.7169575,14.2295265,Wordle 299 4/6*🟨🟨🟨⬛⬛⬛🟩🟩🟨⬛⬛🟩🟩⬛🟩🟩🟩🟩🟩🟩Garlic 🧄
1.51E+18,popephallicus,Thu Apr 14 01:06:00 +0000 2022,-111.985824,40.3445525,"Please don't plow my field, and tell me pepto will helpWordle 298 3/6⬛⬛⬛⬛⬛⬛🟩⬛🟨⬛🟩🟩🟩🟩🟩"
